scenario,target_model,target_model_train_dataset,attack_toolchain,attack_name,target_dataset,test_index,original_text,perturbed_text,ground_truth,original_output,perturbed_output,status,num_queries,frac_words_changed
sentiment,distilcamembert,allocine,textattack,bae,allocine,0,"Magnifique épopée, une belle histoire, touchante avec des acteurs qui interprètent très bien leur rôles (Mel Gibson, Heath Ledger, Jason Isaacs...), le genre de film qui se savoure en famille! :)","belle temps, une belle histoire, touchante avec des acteurs par va pas bien leur film (Mel Gibson, Heath Ledger, Jason Isaacs...), pour genre de cinema qui se yne en son! :)",1,"[0.00047096062917262316, 0.9995290040969849]","[0.18987245857715607, 0.8101274967193604]",failed,183,0.3333333333333333
sentiment,distilcamembert,allocine,textattack,bae,allocine,1,"Je n'ai pas aimé mais pourtant je lui mets 2 étoiles car l'expérience est louable. Rien de conventionnel ici. Une visite E.T. mais jonchée d'idées /- originales. Le soucis, tout ceci avait-il vraiment sa place dans un film de S.F. tirant sur l'horreur ? Voici un film qui, à l'inverse de tant d'autres qui y ont droit, mériterait peut-être un remake.","du n'ai pas aimé mais pourtant je lui mets 2 étoiles car l'expérience est louable. Rien de conventionnel ici. Une visite E.T. mais jonchée d'idées /- originales. Le soucis, tout ceci avait-il vraiment sa place dans un film de S.F. tirant sur l'horreur ? Voici un film qui, à l'inverse de tant d'autres qui y ont droit, mériterait peut-être un remake.",0,"[0.6205608248710632, 0.3794391453266144]","[0.06990174204111099, 0.9300982356071472]",success,85,0.0163934426229508
sentiment,distilcamembert,allocine,textattack,bae,allocine,2,Un dessin animé qui brille par sa féerie et ses chansons.,Un dessin animé qui non par sa féerie et ses chansons.,1,"[0.006190015003085136, 0.9938099980354309]","[0.9596356749534607, 0.04036440700292587]",success,48,0.0909090909090909
sentiment,distilcamembert,allocine,textattack,bae,allocine,3,"Si c'est là le renouveau du cinéma français, c'est tout de même foutrement chiant. Si l'objet est très stylisé et la tension palpable, le film paraît plutôt creux.","Si c'est là le renouveau du cinéma français, c'est tout de même foutrement bien. si l'objet est très stylisé and makes tension palpable, le film paraît plutôt creux.",0,"[0.999725878238678, 0.00027412595227360725]","[0.4622066915035248, 0.5377933382987976]",success,58,0.1428571428571428
sentiment,distilcamembert,allocine,textattack,bae,allocine,4,"Et pourtant on s’en Doutait !Second volet très mauvais, sans fraîcheur et particulièrement lourdingue. Quel dommage.","Et pourtant on s’en Doutait !Second les très mauvais, sans fraîcheur et particulièrement pour. Quel dommage.",0,"[0.9996825456619263, 0.00031743431463837624]","[0.9964210987091064, 0.0035789452958852053]",failed,40,0.1176470588235294
sentiment,distilcamembert,allocine,textattack,bae,allocine,5,"Vous reprendrez bien un peu d'été ? Ce film je le voyais comme un mélange de Rohmer et de Rozier, un film de vacances, j'adore ça, un truc beau et pur qui dit des choses sur la vie, l'amour, les filles, les vacances. Un film qui se regarde en sirotant une boisson fraîche en écoutant les grillons ! Sauf qu'en fait non ! On a un film foutraque au possible qui reprend les codes justement de Rohmer voir Godard, enfin la Nouvelle Vague en général dans sa première partie (jusqu'à même finir sur une partie qui ressemblerait à du Kusturica), mais en beaucoup plus léger et décalé. Le film n'en a rien à foutre de rien, il ose tout, n'a peur de rien et ça c'est bon. C'est sans doute le film le plus drôle de 2013, mais tout simplement l'un des meilleurs tout court. Le film qui nous sort des dialogues qui pourraient sortir d'un mauvais Godard (oxymore) sur un ton what the fuckesque… raconte des anecdotes débiles au souhait face caméra… et pourtant, il y a quelque chose dans ce film survolté. Il y a du beau. Ces scènes dans la neige, c'est tendre, c'est beau, ça tranche avec le reste et ça donne du coeur à l'amourette, ça aide à le faire paraître comme une évidence. Et puis on a cette scène que je trouve sublime qui m'a profondément émue, cette scène où le docteur Placenta devient tout à coup sérieux et parle de cette date où chaque année il repense à cette fille et au fait qu'une année de plus le sépare d'elle. C'est horrible comme concept et pourtant tellement vrai et sincère. C'est vraiment troublant. Et encore une fois la scène d'avant est très drôle et là, un petit moment de douceur avant de repartir sur le train effréné ! Et il y a ces fesses… Et le plus beau c'est qu'à la fin Vimala Pons a un petit air d'Anna Karina ! Film fout, étonnant, percutant, drôle, beau, triste ! C'est foutrement cool !","Vous reprendrez bien un peu d'été ? Ce film je le voyais comme un mélange de Rohmer qui de Rozier, un film de vacances, j'adore ça, ne truc beau et pur qui dit des je sur la vie, l'amour, les filles, les vacances. Un filmmaking qui se regarde en sirotant une boisson fraîche de écoutant les grillons ! Sauf qu'en fait non ! over a certain film foutraque au possible qui s les codes justement de Rohmer voir Godard, une la Nouvelle Vague en général pour sa première partie (jusqu'à même finir sur une partie qui ressemblerait son du Kusturica), mais en beaucoup plus léger et décalé. si movie n'en a rien il foutre de rien, il ose tout, n'a peur de rien et ça mal bon. C'est sans doute le film le plus drôle de 2013, mais tout simplement l'un moi s tout court. Le film qui nous sort ien dialogues pour par sortir d'un mauvais Godard (oxymore) sur un ton what the fuckesque… nt des anecdotes débiles au souhait face caméra… et pourtant, il y a quelque fin dans ce film survolté. Il y a ton beau. Ces scènes is ce neige, c'est tendre, c'est beau, ça tranche pas du reste et ça donne du coeur à l'amourette, que aide à le faire paraître comme un évidence. si puis on a cette scène que je trouve sublime qui sans tre émue, cette scène où le docteur Placenta et que à coup sérieux la parle de cette date où chaque année il repense ire cette fille et si fait qu'une année de plus le sépare d'elle. C'est horrible du concept et pourtant tellement vrai et sincère. pas bien troublant. Et encore une fois la scène ne est très drôle et là, un petit point de douceur avant de repartir sur le train effréné ! Et il y a ces fesses… Et le plus beau c'est qu'à la fin Vimala Pons a un petit air d'Anna Karina ! Film fout, étonnant, percutant, drôle, beau, triste ! C'est foutrement cool !",1,"[0.0004930670256726444, 0.999506950378418]","[0.5207391381263733, 0.47926080226898193]",success,1148,0.1261261261261261
sentiment,distilcamembert,allocine,textattack,bae,allocine,7,"Terrible histoire que ces êtres sans amour, ces êtres lisses et frustres qui passent à côté de leur vie. Quelle leçon Monsieur Brizé! Vous avez tout dit, tout filmé jusqu'au moindre détail. tout est beau et terrifiant jusqu'à la scène finale qui nous liquéfie, un Vincent Lindon regardant la vie fixement sans oser la toucher ni la prendre dans ses bras, une Hélène Vincent qui attend, qui attend... Mon Dieu Monsieur Brizé, continuez....","Terrible histoire que ces êtres sans amour, mis êtres lisses et tres qui passent à côté de leur vie. par leçon Monsieur Brizé! Vous avez elle dit, tout filmé jusqu'au moindre détail. tout est beau et ude pour la scène finale qui nous liquéfie, un Vincent Lindon regardant la vie fixement sans oser la toucher ni la prendre dans ses bras, une Hélène Vincent is attend, qui attend... Mon Dieu Monsieur Brizé, continuez....",1,"[0.0014063301496207714, 0.9985936284065247]","[0.5679063200950623, 0.43209370970726013]",success,183,0.0958904109589041
sentiment,distilcamembert,allocine,textattack,bae,allocine,8,"Un très joli film, qui ressemble à un téléfilm mais qui a le mérite d'être émouvant et proche de ses personnages. Magimel est vraiment très bon et l'histoire est touchante","Un pas joli film, qui ressemble à un téléfilm mais qui a ne mérite d'être émouvant et proche de ses personnages. Magimel est vraiment très bon et l'histoire est touchante",1,"[0.0022956894244998693, 0.9977043271064758]","[0.9698799252510071, 0.03012007661163807]",success,62,0.0666666666666666
sentiment,distilcamembert,allocine,textattack,bae,allocine,9,"Mais comment certaines personnes ont pus lui mettre 5/5 et donc dire indirectement que c'est un chef-d'œuvre ??? Et comment a-t-il fait pour sortir au cinéma et non en DTV ??? C'est pas un film que l'on regarde dans une salle obscur ça, pour moi ça ressemble plus à un téléfilm que l'on visionne un dimanche pluvieux pour que les enfants arrête de nous casser les pieds ! Et puis, le scénario avec le chien que devient le meilleur ami du gosse, c'est du vu et revu (un cliché) ! L'acteur principal est quant à lui aussi agaçant que son personnage ! Les suites ont l'air aussi mauvaises que Buddy Star des Paniers étant donné que l'histoire est quasiment la même (pour moi ça c'est pas des suites, c'est plutôt une succession de petits reboots inutiles). Reste regardable pour les moins de 10 ans (et encore, même moi à 6 ans, je n'aurais pas aimé).","Mais comment certaines personnes ont pus lui je 5/5 et donc dire indirectement que c'est un chef-d'œuvre ??? Et comment une fait pour sortir au cinéma et non en DTV ??? C'est pas un film que l'on regarde dans une salle obscur ça, pour moi ça ressemble plus à un téléfilm que l'on tique un dimanche pluvieux pour que les enfants arrête de nous casser les pieds ! Et puis, le scénario avec le chien que devient le meilleur ami du gosse, pas du vu et revu (un cliché) ! L'acteur principal est quant à lui la agaçant que son personnage ! Les suites ont l'air aussi que que Buddy Star des Paniers étant donné que l'histoire est quasiment la même (pour i ça c'est pas des suites, c'est plutôt une succession de petits reboots inutiles). pas regardable aux les moins de 10 ans (et encore, même moi à 6 bien, je n'aurais pas aimé).",0,"[0.9997686743736267, 0.0002313780423719436]","[0.2845724821090698, 0.7154275178909302]",success,311,0.0662251655629139
sentiment,distilcamembert,allocine,textattack,bae,allocine,10,"LE film de mon enfance , il a un peu vieilli maintenant , mais l'ours reste toujours impressionnant, il est bien réel contrairement au film 'the Revenant"" . Ce n'est surement pas un chef-d'œuvre mais je le trouve bien réalise , captivant , beaux et accompagné d'une superbe musique. Le gros points noir c'est la facilité qu'ils ont a créer des peaux , des pièges , et rester longtemps sans manger....mais on oublie assez vite ces erreurs grâce a un casting sympathique et aux décors naturels. Un vieux film mais qui reste toujours un bon film.","petit film de mon enfance , il a un peu bien maintenant , mais l'ours reste toujours impressionnant, il est bien réel contrairement au film 'the Revenant"" . Ce n'est surement pas grand chef-d'œuvre pas je le trouve bien réalise , captivant , beaux et accompagné d'une e musique. Le gros points noir c'est la facilité qu'ils ont a créer des aux , des pièges , et rester longtemps sans manger....mais on est assez vite ces erreurs grâce a un casting sympathique et aux décors naturels. pour vieux film mais qui reste toujours un film iface.",1,"[0.000899123027920723, 0.999100923538208]","[0.7733736634254456, 0.22662626206874847]",success,233,0.1111111111111111
sentiment,distilcamembert,allocine,textattack,bae,allocine,11,"La Vie de David Gale est vraiment un excellent film , maitrisé et redoutablement efficace , un film qui ma agréablement surprit . La réalisation et la mise en scène avec les flash back est très efficace et donne beaucoup de rythme et d'ampleur au film . Un scénario très bien travaillé , très intéressant a suivre et très soigne au niveau de l'écriture et surtout une intrigue qui est vraiment captivant du début jusqu'à la fin , on est vraiment scotché par cette intrigue : remplit de suspense et de rebondissement et aussi de mystère , mystère qui sera dévoile au dernier minute du film . Donc un twist final qui est vraiment énorme et inattendu , et très surprenant qui ma bien bluffé et surprit . Bravo . L'interprétation des acteurs qui est juste parfaite , vraiment les acteurs sont très convaincant dans leur rôle . Les personnages sont recherché et bien approfondit . La BO du film est vraiment énorme et ajoute de a l'ambiance qui est déjà excellent . Rythmé , intense , scénario captivant et bien ficelé , acteurs vraiment excellent : voila ce qui vous attend dans ce film qui est vraiment magistrale . A voir absolument . Un pur chef oeuvre .","La Vie de David Gale est vraiment un excellent il , au et redoutablement efficace , un film qui ma grande surprit . La réalisation et que mise en scène il les flash back est très efficace et donne beaucoup de rythme pas d'ampleur tres film . Un scénario très bien travaillé , très intéressant a la et très soigne au niveau de l'écriture or surtout une intrigue qui est vraiment captivant du moment jusqu'à la fin , on est vraiment scotché les tres intrigue : remplit de suspense ou de rebondissement et que de mystère , mystère sa sera f au dernier minute du film . Donc un twist able il est vraiment énorme et inattendu , et très est qui ma bien bluffé et surprit . Bravo . o des acteurs qui est juste parfaite , vraiment los acteurs sont très convaincant dans leur rôle . Les personnages sont recherché et que du . lo BO du film est vraiment énorme et que de a l'ambiance qui est déjà excellent . Rythmé , oh , scénario captivant et sur ficelé , acteurs vraiment excellent : voila ce qu vous ne dans ce film qui est vraiment magistrale . A voir absolument . Un pur chef oeuvre .",1,"[0.00043963015195913613, 0.9995602965354919]","[0.0006244464311748743, 0.9993755221366882]",failed,593,0.1559139784946236
sentiment,distilcamembert,allocine,textattack,bae,allocine,12,"On ne comprend que guère l'espace et le temps dans ce grand récit un peu foutoir. Ce qui est dit est bien plus intéressant que ce qui nous est donné à voir. Les Soft focus, l'alternance couleur/Noir&Blanc est une déconvenue alambiquée sur l'histoire qui rétrograde ce film, qui fini grandement par lasser. La première heure contient les meilleures intentions.","On ne comprend que guère l'espace et le temps dans ce grand récit pour peu foutoir. ce qui est dit est bien plus intéressant que ce qui nous est donné à voir. sa Soft focus, l'alternance couleur/Noir&Blanc est une bien alambiquée sur l'histoire qui rétrograde ce film, qui fini grandement par moi. les première heure contient les meilleures intentions.",0,"[0.9997550845146179, 0.0002448908344376832]","[0.46108847856521606, 0.5389115214347839]",success,104,0.0983606557377049
sentiment,distilcamembert,allocine,textattack,bae,allocine,13,"Film rare. Les acteurs sont formidables, ils jouent juste, surtout les acteurs principaux. L'histoire est touchante, émouvante pour qui a un cœur, bien filmé, bons plans et musique en accord.","Film rare. Les acteurs sont pas, ils jouent juste, surtout les acteurs principaux. qui est le, émouvante pour qui a un cœur, bien filmé, bons plans et musique en accord.",1,"[0.0009104524506255984, 0.9990895986557007]","[0.5212178230285645, 0.4787822365760803]",success,93,0.1
sentiment,distilcamembert,allocine,textattack,bae,allocine,14,"Je ne m'en souviens plus mais j'ai la vague impression que c'était le vide astral et chiant en plus, et vous, vous en souvenez-vous ?","Je ne i souviens plus mais pas se vague impression que c'était le vide astral eil tres en plus, et vous, vous en souvenez-vous ?",0,"[0.9996287822723389, 0.0003712484613060951]","[0.43366119265556335, 0.5663387775421143]",success,125,0.2083333333333333
sentiment,distilcamembert,allocine,textattack,bae,allocine,15,"un tres mauvais documentaire pro cannabis, qui fait passé en dérision une drogue. La betise american d'un état qui commercialise de la drogue comme médicament, et s'enrichissement au passage. Une documentaire creux, fade, qui ne mérite meme pas le detour.","un tres bien documentaire pro cannabis, qui fait passé en dérision est drogue. La betise american isse état qui commercialise de la drogue comme le, et s'enrichissement au passage. Une documentaire creux, fade, qui une mere meme pas le detour.",0,"[0.9998015761375427, 0.00019848148804157972]","[0.9983488321304321, 0.001651184749789536]",failed,106,0.15
sentiment,distilcamembert,allocine,textattack,bae,allocine,16,"Eli Roth est un réalisateur intéressant et redoutable d'efficacité. Bruce Willis fidèle à lui-même, le film ne révolutionne pas le genre mais il a son charme et pose de bonnes questions.","Eli Roth est un réalisateur intéressant et redoutable d'efficacité. Bruce Willis fidèle à lui-même, le film ne révolutionne pas le genre y il a son charme et pose de bonnes questions.",1,"[0.05924345180392265, 0.940756618976593]","[0.5227286219596863, 0.47727134823799133]",success,60,0.032258064516129
sentiment,distilcamembert,allocine,textattack,bae,allocine,17,"Starship Troopers continue sa descente aux enfers, ce troisième épisode nous livre une histoire complètement tordue et surtout des effets spéciaux qui frôlent le nanar.","Starship Troopers continue sa descente aux enfers, ce troisième épisode nous livre une histoire complètement tordue et surtout des effets spéciaux qui frôlent le coup.",0,"[0.9928568601608276, 0.007143185008317232]","[0.37052038311958313, 0.6294796466827393]",success,35,0.04
sentiment,distilcamembert,allocine,textattack,bae,allocine,18,"Le récit d'une fable où le sort d'un éléphant, l'hélicoptère ici, peut vous prendre toute une vie. Malgré quelques maladresses, le film tient ses promesses : décrire l'Amérique des migrants. A voir.","pour récit d'une fable où le sort d'un éléphant, l'hélicoptère qui, peut vous prendre toute une vie. Malgré quelques deux, le film tient ses promesses : décrire l'Amérique des migrants. A voir.",1,"[0.0023983113933354616, 0.9976016879081726]","[0.02440384030342102, 0.9755961894989014]",failed,96,0.0967741935483871
sentiment,distilcamembert,allocine,textattack,bae,allocine,19,(...) chaque petite lueur d’espoir engendrée par une séquence intéressante sera soufflée sans sommation par un dégueulis de haine à peine masqué et malvenu. Critique complète sur : http://www.leblogducinema.com/critiques/critique-drame/critique-les-hommes-libres/,(...) chaque petite lueur d’espoir engendrée par une séquence intéressante sera soufflée sans se par un dégueulis de haine sur peine masqué et dans. Critique complète sur : http://www.leblogducinema.com/critiques/critique-drame/critique-les-hommes-libres/,0,"[0.9672835469245911, 0.03271641209721565]","[0.4642598628997803, 0.5357401371002197]",success,49,0.088235294117647
sentiment,distilcamembert,allocine,textattack,bae,allocine,20,"Le dernier Marvel exploite la franchise Spider-Man avec lourdeur : scénario inconsistant, effets spéciaux ringards, musique mièvre ou assourdissante, teen movie ridicule, jeunes acteurs cabotins... Seul Tom Holland tire son épingle du jeu dans ce pétard mouillé vendu comme le blockbuster de l'été.","Le dernier Marvel exploite des franchise Spider-Man avec amour : scénario inconsistant, effets de ringards, musique mièvre ou assourdissante, teen movie ridicule, jeunes acteurs cabotins... les Tom Holland tire son épingle du jeu dans ce pétard mouillé vendu qui le blockbuster de l'été.",0,"[0.9995710253715515, 0.0004289315256755799]","[0.486019104719162, 0.5139809250831604]",success,121,0.119047619047619
sentiment,distilcamembert,allocine,textattack,bae,allocine,21,Mon dieu ils n'ont pu s'empêcher de venir souiller notre capitale (et ont eu le culot de mal placer Lyon sur la carte de France). Restera certaines séquences de street dance passables pour nous sortir de cette niaiserie malvenue.,mon dieu ils n'ont pu s'empêcher de venir souiller notre capitale (il ont et le culot de mal placer Lyon sur au carte de france). Restera certaines part de street dance passables pour nous sortir de passage des malvenue.,0,"[0.9997428059577942, 0.0002571682271081954]","[0.9878016114234924, 0.01219839509576559]",failed,131,0.2051282051282051
