scenario,target_model,target_model_train_dataset,attack_toolchain,attack_name,target_dataset,test_index,original_text,perturbed_text,ground_truth,original_output,perturbed_output,status,num_queries,frac_words_changed
sentiment,distilcamembert,allocine,textattack,input_reduction,allocine,0,"Magnifique épopée, une belle histoire, touchante avec des acteurs qui interprètent très bien leur rôles (Mel Gibson, Heath Ledger, Jason Isaacs...), le genre de film qui se savoure en famille! :)",", histoire, touchante des bien (Mel, Ledger,...), film se en! :)",1,"[0.00047096062917262316, 0.9995290040969849]","[0.012402723543345928, 0.9875972867012024]",success,52,0.3
sentiment,distilcamembert,allocine,textattack,input_reduction,allocine,1,"Je n'ai pas aimé mais pourtant je lui mets 2 étoiles car l'expérience est louable. Rien de conventionnel ici. Une visite E.T. mais jonchée d'idées /- originales. Le soucis, tout ceci avait-il vraiment sa place dans un film de S.F. tirant sur l'horreur ? Voici un film qui, à l'inverse de tant d'autres qui y ont droit, mériterait peut-être un remake.","pas aimé lui 2 car est.. Une.T. /-. Le, tout ceci vraiment film S.F. tirant sur l'horreur ? un, l'inverse de y, remake.",0,"[0.6205608248710632, 0.3794391453266144]","[0.9930082559585571, 0.006991744041442871]",success,101,0.3770491803278688
sentiment,distilcamembert,allocine,textattack,input_reduction,allocine,2,Un dessin animé qui brille par sa féerie et ses chansons.,dessin qui sa.,1,"[0.006190015003085136, 0.9938099980354309]","[0.4316840171813965, 0.5683159828186035]",success,20,0.2727272727272727
sentiment,distilcamembert,allocine,textattack,input_reduction,allocine,3,"Si c'est là le renouveau du cinéma français, c'est tout de même foutrement chiant. Si l'objet est très stylisé et la tension palpable, le film paraît plutôt creux.","le renouveau, de chiant. l'objet est stylisé la tension palpable, le.",0,"[0.999725878238678, 0.00027412595227360725]","[0.9935886859893799, 0.006411298178136349]",success,46,0.3928571428571428
sentiment,distilcamembert,allocine,textattack,input_reduction,allocine,4,"Et pourtant on s’en Doutait !Second volet très mauvais, sans fraîcheur et particulièrement lourdingue. Quel dommage.","pourtant’en ! volet, sans et particulièrement..",0,"[0.9996825456619263, 0.00031743431463837624]","[0.9788817167282104, 0.021118290722370148]",success,29,0.3529411764705882
sentiment,distilcamembert,allocine,textattack,input_reduction,allocine,5,"Vous reprendrez bien un peu d'été ? Ce film je le voyais comme un mélange de Rohmer et de Rozier, un film de vacances, j'adore ça, un truc beau et pur qui dit des choses sur la vie, l'amour, les filles, les vacances. Un film qui se regarde en sirotant une boisson fraîche en écoutant les grillons ! Sauf qu'en fait non ! On a un film foutraque au possible qui reprend les codes justement de Rohmer voir Godard, enfin la Nouvelle Vague en général dans sa première partie (jusqu'à même finir sur une partie qui ressemblerait à du Kusturica), mais en beaucoup plus léger et décalé. Le film n'en a rien à foutre de rien, il ose tout, n'a peur de rien et ça c'est bon. C'est sans doute le film le plus drôle de 2013, mais tout simplement l'un des meilleurs tout court. Le film qui nous sort des dialogues qui pourraient sortir d'un mauvais Godard (oxymore) sur un ton what the fuckesque… raconte des anecdotes débiles au souhait face caméra… et pourtant, il y a quelque chose dans ce film survolté. Il y a du beau. Ces scènes dans la neige, c'est tendre, c'est beau, ça tranche avec le reste et ça donne du coeur à l'amourette, ça aide à le faire paraître comme une évidence. Et puis on a cette scène que je trouve sublime qui m'a profondément émue, cette scène où le docteur Placenta devient tout à coup sérieux et parle de cette date où chaque année il repense à cette fille et au fait qu'une année de plus le sépare d'elle. C'est horrible comme concept et pourtant tellement vrai et sincère. C'est vraiment troublant. Et encore une fois la scène d'avant est très drôle et là, un petit moment de douceur avant de repartir sur le train effréné ! Et il y a ces fesses… Et le plus beau c'est qu'à la fin Vimala Pons a un petit air d'Anna Karina ! Film fout, étonnant, percutant, drôle, beau, triste ! C'est foutrement cool !","bien d'été ? Ce film mélange et Rozier, un film vacances, ça, pur qui dit,, les filles,. Un en sirotant fraîche les grillons ! fait ! justement de Godard, la Nouvelle ( même finir partie qui ressemblerait à du), beaucoup et. à foutre de, il tout, peur rien et ça. C'est sans doute film plus de 2013, meilleurs court. Le pourraient sortir (oxymore) sur what… raconte au face caméra…, il quelque chose dans. y du beau. Ces scènes dans la, c'est tendre, c'est beau, avec reste et ça du coeur à l'amourette, ça aide faire comme une évidence. Et puis cette scène que sublime profondément, cette tout coup et de cette date chaque année il repense à au fait qu'une année de le sépare d'elle. C'est et. troublant. fois scène très drôle et, un petit moment de douceur repartir sur ! y a… plus la Vimala Pons a un d'Anna ! Film fout,,,,, ! cool !",1,"[0.0004930670256726444, 0.999506950378418]","[0.0012530729873105884, 0.9987468719482422]",success,519,0.4414414414414414
sentiment,distilcamembert,allocine,textattack,input_reduction,allocine,7,"Terrible histoire que ces êtres sans amour, ces êtres lisses et frustres qui passent à côté de leur vie. Quelle leçon Monsieur Brizé! Vous avez tout dit, tout filmé jusqu'au moindre détail. tout est beau et terrifiant jusqu'à la scène finale qui nous liquéfie, un Vincent Lindon regardant la vie fixement sans oser la toucher ni la prendre dans ses bras, une Hélène Vincent qui attend, qui attend... Mon Dieu Monsieur Brizé, continuez....","ces êtres amour, et frustres passent. leçon Monsieur! avez tout, détail. scène finale nous, un Vincent Lindon vie fixement la la, Hélène Vincent attend, qui... Monsieur,....",1,"[0.0014063301496207714, 0.9985936284065247]","[0.014334880746901035, 0.9856650829315186]",success,121,0.3561643835616438
sentiment,distilcamembert,allocine,textattack,input_reduction,allocine,8,"Un très joli film, qui ressemble à un téléfilm mais qui a le mérite d'être émouvant et proche de ses personnages. Magimel est vraiment très bon et l'histoire est touchante","très, qui qui le proche de ses. est ",1,"[0.0022956894244998693, 0.9977043271064758]","[0.009633123874664307, 0.9903668165206909]",success,53,0.2666666666666666
sentiment,distilcamembert,allocine,textattack,input_reduction,allocine,9,"Mais comment certaines personnes ont pus lui mettre 5/5 et donc dire indirectement que c'est un chef-d'œuvre ??? Et comment a-t-il fait pour sortir au cinéma et non en DTV ??? C'est pas un film que l'on regarde dans une salle obscur ça, pour moi ça ressemble plus à un téléfilm que l'on visionne un dimanche pluvieux pour que les enfants arrête de nous casser les pieds ! Et puis, le scénario avec le chien que devient le meilleur ami du gosse, c'est du vu et revu (un cliché) ! L'acteur principal est quant à lui aussi agaçant que son personnage ! Les suites ont l'air aussi mauvaises que Buddy Star des Paniers étant donné que l'histoire est quasiment la même (pour moi ça c'est pas des suites, c'est plutôt une succession de petits reboots inutiles). Reste regardable pour les moins de 10 ans (et encore, même moi à 6 ans, je n'aurais pas aimé).","comment personnes mettre/ donc dire que un ??? Et a-t-il au cinéma et DTV ??? pas un obscur, moi plus à l'on pluvieux pour que nous casser les ! puis, scénario meilleur gosse, du et (un) ! lui personnage ! ont aussi que Star Paniers donné la ( ça pas suites, c'est de). Reste pour les moins 10 ans (et encore, même moi à ans, aimé).",0,"[0.9997686743736267, 0.0002313780423719436]","[0.8749936819076538, 0.125006303191185]",success,244,0.390728476821192
sentiment,distilcamembert,allocine,textattack,input_reduction,allocine,10,"LE film de mon enfance , il a un peu vieilli maintenant , mais l'ours reste toujours impressionnant, il est bien réel contrairement au film 'the Revenant"" . Ce n'est surement pas un chef-d'œuvre mais je le trouve bien réalise , captivant , beaux et accompagné d'une superbe musique. Le gros points noir c'est la facilité qu'ils ont a créer des peaux , des pièges , et rester longtemps sans manger....mais on oublie assez vite ces erreurs grâce a un casting sympathique et aux décors naturels. Un vieux film mais qui reste toujours un bon film.","mon enfance , maintenant , toujours, est bien ' Revenant"" . Ce pas chef-d'œuvre trouve bien réalise , captivant , et musique. points c'est facilité des , , rester longtemps sans manger.... on vite erreurs. mais qui toujours.",1,"[0.000899123027920723, 0.999100923538208]","[0.00192602863535285, 0.998073935508728]",success,151,0.3333333333333333
