scenario,target_model,target_model_train_dataset,attack_toolchain,attack_name,target_dataset,test_index,original_text,perturbed_text,ground_truth,original_output,perturbed_output,status,num_queries,frac_words_changed
sentiment,distilcamembert,allocine,textattack,pwws,allocine,0,"Magnifique épopée, une belle histoire, touchante avec des acteurs qui interprètent très bien leur rôles (Mel Gibson, Heath Ledger, Jason Isaacs...), le genre de film qui se savoure en famille! :)","Magnifique épopée, une belle histoire, touchante avec DES acteurs qui interprètent très bien leur rôles (Mel Gibson, Heath Ledger, Jason Isaac...), le genre DE celluloid qui Se savoure nut famille! :)",1,"[0.00047096062917262316, 0.9995290040969849]","[0.0018446766771376133, 0.9981552958488464]",failed,99,0.2
sentiment,distilcamembert,allocine,textattack,pwws,allocine,1,"Je n'ai pas aimé mais pourtant je lui mets 2 étoiles car l'expérience est louable. Rien de conventionnel ici. Une visite E.T. mais jonchée d'idées /- originales. Le soucis, tout ceci avait-il vraiment sa place dans un film de S.F. tirant sur l'horreur ? Voici un film qui, à l'inverse de tant d'autres qui y ont droit, mériterait peut-être un remake.","Je n'ai pas aimé mais pourtant je lui mets II étoiles car l'expérience est louable. Rien de conventionnel ici. Une visite E.T. mais jonchée d'idées /- originales. Le soucis, tout ceci avait-il vraiment sa place dans un film de S.F. tirant sur l'horreur ? Voici un film qui, à l'inverse de tant d'autres qui y ont droit, mériterait peut-être un remake.",0,"[0.6205608248710632, 0.3794391453266144]","[0.017059238627552986, 0.9829407334327698]",success,199,0.0163934426229508
sentiment,distilcamembert,allocine,textattack,pwws,allocine,2,Un dessin animé qui brille par sa féerie et ses chansons.,Un dessin animé qui brille equality Sturmabteilung féerie et randomness chansons.,1,"[0.006190015003085136, 0.9938099980354309]","[0.32959574460983276, 0.670404314994812]",failed,60,0.2727272727272727
sentiment,distilcamembert,allocine,textattack,pwws,allocine,3,"Si c'est là le renouveau du cinéma français, c'est tout de même foutrement chiant. Si l'objet est très stylisé et la tension palpable, le film paraît plutôt creux.","te c'est là LE renouveau du cinéma français, c'est swash de même foutrement chiant. te l'objet est très stylisé et lanthanum tension palpable, le take paraît plutôt creux.",0,"[0.999725878238678, 0.00027412595227360725]","[0.8375681042671204, 0.16243189573287964]",failed,115,0.2142857142857142
sentiment,distilcamembert,allocine,textattack,pwws,allocine,4,"Et pourtant on s’en Doutait !Second volet très mauvais, sans fraîcheur et particulièrement lourdingue. Quel dommage.","Et pourtant on s’nut Doutait !endorsement volet très mauvais, sans fraîcheur et particulièrement lourdingue. Quel dommage.",0,"[0.9996825456619263, 0.00031743431463837624]","[0.9993422627449036, 0.0006576696177944541]",failed,56,0.1176470588235294
sentiment,distilcamembert,allocine,textattack,pwws,allocine,5,"Vous reprendrez bien un peu d'été ? Ce film je le voyais comme un mélange de Rohmer et de Rozier, un film de vacances, j'adore ça, un truc beau et pur qui dit des choses sur la vie, l'amour, les filles, les vacances. Un film qui se regarde en sirotant une boisson fraîche en écoutant les grillons ! Sauf qu'en fait non ! On a un film foutraque au possible qui reprend les codes justement de Rohmer voir Godard, enfin la Nouvelle Vague en général dans sa première partie (jusqu'à même finir sur une partie qui ressemblerait à du Kusturica), mais en beaucoup plus léger et décalé. Le film n'en a rien à foutre de rien, il ose tout, n'a peur de rien et ça c'est bon. C'est sans doute le film le plus drôle de 2013, mais tout simplement l'un des meilleurs tout court. Le film qui nous sort des dialogues qui pourraient sortir d'un mauvais Godard (oxymore) sur un ton what the fuckesque… raconte des anecdotes débiles au souhait face caméra… et pourtant, il y a quelque chose dans ce film survolté. Il y a du beau. Ces scènes dans la neige, c'est tendre, c'est beau, ça tranche avec le reste et ça donne du coeur à l'amourette, ça aide à le faire paraître comme une évidence. Et puis on a cette scène que je trouve sublime qui m'a profondément émue, cette scène où le docteur Placenta devient tout à coup sérieux et parle de cette date où chaque année il repense à cette fille et au fait qu'une année de plus le sépare d'elle. C'est horrible comme concept et pourtant tellement vrai et sincère. C'est vraiment troublant. Et encore une fois la scène d'avant est très drôle et là, un petit moment de douceur avant de repartir sur le train effréné ! Et il y a ces fesses… Et le plus beau c'est qu'à la fin Vimala Pons a un petit air d'Anna Karina ! Film fout, étonnant, percutant, drôle, beau, triste ! C'est foutrement cool !","Vous reprendrez bien un peu d'été ? Ce movie je le voyais comme UN mélange DE Rohmer et DE Rozier, un movie DE vacances, j'adore ça, UN truc beau et pur qui dit DES choses Sur La vie, l'amour, les fille, les vacances. UN movie qui SE regarde en sirotant une boisson fraîche en écoutant LE grillons ! Sauf qu'en fait not ! on a UN movie foutraque AU possible qui reprend LE code justement DE Rohmer voir Godard, enfin La Nouvelle Vague en général dans SA première partie (jusqu'à même finir sur une partie qui ressemblerait à du Kusturica), mais en beaucoup addition léger et décalé. LE pic n'en a rien à foutre DE rien, IL ose tout, n'a peur de rien et ça c'est bon. C'est sans doute le pic LE positive drôle DE 2013, mais tout simplement l'un stilboestrol meilleurs tout court. Le film qui nous screen DES dialogues qui pourraient sortir d'un mauvais Godard (oxymore) Sur UN ton what the fuckesque… raconte DES anecdotes débiles Au souhait boldness caméra… et pourtant, 49 y a quelque chose dans CE cinema survolté. 49 y a du beau. Ces scènes dans La neige, c'est tendre, c'est beau, ça tranche avec LE reste et ça donne du coeur à l'amourette, ça aide à le faire paraître comme une évidence. Et puis on a cette scène que je trouve grand qui m'a profondément émue, cette scène où le docteur Placenta devient tout à coup sérieux et parle de cette date où chaque année 49 repense à cette fille et Au fait qu'une année DE positive LE sépare d'elle. C'est horrible comme concept et pourtant tellement vrai et sincère. C'est vraiment troublant. Et encore une fois la scène d'avant EST très drôle et là, un petit import DE douceur avant DE repartir Sur LE direct effréné ! Et il y a ces fesse… Et le plus fop c'est qu'à La V Vimala pons a un petit air d'Anna Karina ! pic fout, étonnant, percutant, drôle, beau, triste ! C'est foutrement nerveless !",1,"[0.0004930670256726444, 0.999506950378418]","[0.10154430568218231, 0.8984557390213013]",failed,1431,0.2042042042042042
sentiment,distilcamembert,allocine,textattack,pwws,allocine,7,"Terrible histoire que ces êtres sans amour, ces êtres lisses et frustres qui passent à côté de leur vie. Quelle leçon Monsieur Brizé! Vous avez tout dit, tout filmé jusqu'au moindre détail. tout est beau et terrifiant jusqu'à la scène finale qui nous liquéfie, un Vincent Lindon regardant la vie fixement sans oser la toucher ni la prendre dans ses bras, une Hélène Vincent qui attend, qui attend... Mon Dieu Monsieur Brizé, continuez....","horrific histoire que ces êtres sans amour, ces êtres lisses et frustres qui passent à côté de leur compete. Quelle leçon Monsieur Brizé! Vous avez tout dit, tout filmé jusqu'au moindre détail. tout est beau et terrifiant jusqu'à la scène coda qui psyche liquéfie, UN Vincent Lindon regardant la vie fixement sans oser la toucher ni la prendre dans randomness bras, une Hélène Vincent qui attend, qui attend... Mon Dieu Monsieur Brizé, continuez....",1,"[0.0014063301496207714, 0.9985936284065247]","[0.502058207988739, 0.4979418218135834]",success,272,0.0821917808219178
sentiment,distilcamembert,allocine,textattack,pwws,allocine,8,"Un très joli film, qui ressemble à un téléfilm mais qui a le mérite d'être émouvant et proche de ses personnages. Magimel est vraiment très bon et l'histoire est touchante","Un très joli celluloid, qui ressemble à UN téléfilm mais qui a LE mérite d'être émouvant et proche de ses personnages. Magimel est vraiment très bon et l'histoire est touchante",1,"[0.0022956894244998693, 0.9977043271064758]","[0.01640365459024906, 0.9835963249206543]",failed,96,0.1
sentiment,distilcamembert,allocine,textattack,pwws,allocine,9,"Mais comment certaines personnes ont pus lui mettre 5/5 et donc dire indirectement que c'est un chef-d'œuvre ??? Et comment a-t-il fait pour sortir au cinéma et non en DTV ??? C'est pas un film que l'on regarde dans une salle obscur ça, pour moi ça ressemble plus à un téléfilm que l'on visionne un dimanche pluvieux pour que les enfants arrête de nous casser les pieds ! Et puis, le scénario avec le chien que devient le meilleur ami du gosse, c'est du vu et revu (un cliché) ! L'acteur principal est quant à lui aussi agaçant que son personnage ! Les suites ont l'air aussi mauvaises que Buddy Star des Paniers étant donné que l'histoire est quasiment la même (pour moi ça c'est pas des suites, c'est plutôt une succession de petits reboots inutiles). Reste regardable pour les moins de 10 ans (et encore, même moi à 6 ans, je n'aurais pas aimé).","Mais scuttlebutt certaines personnes ont pus lui mettre 5/5 et donc dire indirectement que c'est UN chef-d'œuvre ??? Et gloss a-t-il fait pour sortir AU cinéma et not en DTV ??? C'est pa un film que l'on regarde dans une salle obscur ça, pelt moi ça ressemble plus à un téléfilm que l'on visionne un dimanche pluvieux pour que les enfants arrête DE nous casser les pieds ! Et puis, LE scénario avec le chien que devient LE meilleur ami du gosse, c'est du vu et revu (UN cliché) ! L'acteur principal est quant à lui aussi agaçant que son personnage ! Les entourage ont l'air aussi mauvaises que Buddy ace des Paniers étant donné que l'histoire EST quasiment La même (pour moi ça c'est pa Delaware suites, c'est plutôt une sequence Delaware petits reboot inutiles). Reste regardable pelt les moins de tenner ANS (et encore, même moi à half-dozen ANS, je n'aurais protoactinium aimé).",0,"[0.9997686743736267, 0.0002313780423719436]","[0.9921804666519165, 0.007819595746695995]",failed,710,0.1721854304635761
sentiment,distilcamembert,allocine,textattack,pwws,allocine,10,"LE film de mon enfance , il a un peu vieilli maintenant , mais l'ours reste toujours impressionnant, il est bien réel contrairement au film 'the Revenant"" . Ce n'est surement pas un chef-d'œuvre mais je le trouve bien réalise , captivant , beaux et accompagné d'une superbe musique. Le gros points noir c'est la facilité qu'ils ont a créer des peaux , des pièges , et rester longtemps sans manger....mais on oublie assez vite ces erreurs grâce a un casting sympathique et aux décors naturels. Un vieux film mais qui reste toujours un bon film.","LE pic Delaware Mon enfance , 49 a un peu vieilli maintenant , mais l'ours reste toujours impressionnant, il est bien réel contrairement Au cinema 'the Revenant"" . Ce n'est surement papa un chef-d'œuvre mais je le trouve bien réalise , captivant , beau et accompagné d'une superbe musique. Le gros direct noir c'est La facilité qu'ils ont a créer des peaux , des pièges , et rester longtemps sans manger....mais on oublie assez vite Ce erreurs grâce a un vomit sympathique et aux décors naturels. Un vieux movie mais qui reste toujours un bon celluloid.",1,"[0.000899123027920723, 0.999100923538208]","[0.5608201622962952, 0.4391798675060272]",success,430,0.1555555555555555
