scenario,target_model,target_model_train_dataset,attack_toolchain,attack_name,target_dataset,test_index,original_text,perturbed_text,ground_truth,original_output,perturbed_output,status,num_queries,frac_words_changed
sentiment,distilcamembert,allocine,textattack,textbugger,allocine,0,"Magnifique épopée, une belle histoire, touchante avec des acteurs qui interprètent très bien leur rôles (Mel Gibson, Heath Ledger, Jason Isaacs...), le genre de film qui se savoure en famille! :)","Resplendent éoppée, autre handsome histoi re, tоuchante avc aux acteurs qui interprètent peu bien leur rôles (Mel Gibson, Heath Ledgers, Jason Isaacs...), du genre de f ilm qui se savоure pt famille! :)",1,"[0.00047096062917262316, 0.9995290040969849]","[0.15398447215557098, 0.8460155725479126]",failed,210,1.0
sentiment,distilcamembert,allocine,textattack,textbugger,allocine,1,"Je n'ai pas aimé mais pourtant je lui mets 2 étoiles car l'expérience est louable. Rien de conventionnel ici. Une visite E.T. mais jonchée d'idées /- originales. Le soucis, tout ceci avait-il vraiment sa place dans un film de S.F. tirant sur l'horreur ? Voici un film qui, à l'inverse de tant d'autres qui y ont droit, mériterait peut-être un remake.","Je n'ai pas aimé mais pourtant je lui mets ᒿ étoiles car l'expérience est louable. Rien de conventionnel ici. Une visite E.T. mais jonchée d'idées /- originales. Le soucis, tout ceci avait-il vraiment sa place dans un film de S.F. tirant sur l'horreur ? Voici un film qui, à l'inverse de tant d'autres qui y ont droit, mériterait peut-être un remake.",0,"[0.6205608248710632, 0.3794391453266144]","[0.4599481225013733, 0.5400518178939819]",success,62,0.0163934426229508
sentiment,distilcamembert,allocine,textattack,textbugger,allocine,2,Un dessin animé qui brille par sa féerie et ses chansons.,Un dessin animé qui brillе par sa féerіe und ses chansons.,1,"[0.006190015003085136, 0.9938099980354309]","[0.283302366733551, 0.7166976928710938]",failed,32,0.2727272727272727
sentiment,distilcamembert,allocine,textattack,textbugger,allocine,3,"Si c'est là le renouveau du cinéma français, c'est tout de même foutrement chiant. Si l'objet est très stylisé et la tension palpable, le film paraît plutôt creux.","Tr c'est là le renouveau du cinéma français, c'est tout de même foutrement cհiant. Si l'objet est très stylisé et la tension palpable, le film paraît plutôt cⲅeux.",0,"[0.999725878238678, 0.00027412595227360725]","[0.3567229211330414, 0.643277108669281]",success,52,0.1071428571428571
sentiment,distilcamembert,allocine,textattack,textbugger,allocine,4,"Et pourtant on s’en Doutait !Second volet très mauvais, sans fraîcheur et particulièrement lourdingue. Quel dommage.","Et pourtant on s’en Dou𝚝ait !Secs ѵolet peu mauvais, sans fraîcheur еt particulièrement lourdіngue. Qսel dommage.",0,"[0.9996825456619263, 0.00031743431463837624]","[0.9743177890777588, 0.025682231411337852]",failed,75,0.4117647058823529
sentiment,distilcamembert,allocine,textattack,textbugger,allocine,5,"Vous reprendrez bien un peu d'été ? Ce film je le voyais comme un mélange de Rohmer et de Rozier, un film de vacances, j'adore ça, un truc beau et pur qui dit des choses sur la vie, l'amour, les filles, les vacances. Un film qui se regarde en sirotant une boisson fraîche en écoutant les grillons ! Sauf qu'en fait non ! On a un film foutraque au possible qui reprend les codes justement de Rohmer voir Godard, enfin la Nouvelle Vague en général dans sa première partie (jusqu'à même finir sur une partie qui ressemblerait à du Kusturica), mais en beaucoup plus léger et décalé. Le film n'en a rien à foutre de rien, il ose tout, n'a peur de rien et ça c'est bon. C'est sans doute le film le plus drôle de 2013, mais tout simplement l'un des meilleurs tout court. Le film qui nous sort des dialogues qui pourraient sortir d'un mauvais Godard (oxymore) sur un ton what the fuckesque… raconte des anecdotes débiles au souhait face caméra… et pourtant, il y a quelque chose dans ce film survolté. Il y a du beau. Ces scènes dans la neige, c'est tendre, c'est beau, ça tranche avec le reste et ça donne du coeur à l'amourette, ça aide à le faire paraître comme une évidence. Et puis on a cette scène que je trouve sublime qui m'a profondément émue, cette scène où le docteur Placenta devient tout à coup sérieux et parle de cette date où chaque année il repense à cette fille et au fait qu'une année de plus le sépare d'elle. C'est horrible comme concept et pourtant tellement vrai et sincère. C'est vraiment troublant. Et encore une fois la scène d'avant est très drôle et là, un petit moment de douceur avant de repartir sur le train effréné ! Et il y a ces fesses… Et le plus beau c'est qu'à la fin Vimala Pons a un petit air d'Anna Karina ! Film fout, étonnant, percutant, drôle, beau, triste ! C'est foutrement cool !","Vous reprendrez bien un peu d`été ? Ce film je le voyais comme un mélange de Rohmer et de Rozier, un film de vacances, j`adore ça, un truc beau et pur qui dit des choses sur la vie, l`amour, les filles, les vacances. Un film qui se regarde en sirotan𝚝 une boisson fraîche en écoutant les grillons ! Sauf qu`en fait non ! On a un film foutraque au possible qui reprend les code justement de Rohmer voir Godard, enfin la Nouvelle Vague en général dans sa première partie (jusqu`à même finir sur une partie qui ressemblerait à du Kusturcia), mais en beaucoup p lus ⅼéger y décalé. Le cinema n'en a ren à foutre the rien, il ose faut, n'a peur for rien et ça cest boո. C'et sans dote du movie li plus drôle de 2013, mais alors simplement l'un de meillers tout court. Le film qui us sort des dialogues qui pourraie nt sortir d'un mauvais Godard (oxymore) sur un ton what the fuckesque… raconte des story débiles au souhait face caméra… and pourtant, il y a peu chose pour ce cinema survolté. Il y a the beau. Ces scènes avec la nеige, c'est tendre, c`est belle, alors tranche with ⅼe même y donc donne du coeur une l`amourette, donc aide dans le faire paraître alors unе évidence. Et puis on a cette scène que toi trouve sublime q ui m'ɑ profondémen𝚝 éume, même scène où le docteur Placetna devient tot aux coup sérieux e𝚝 parle du une time où même année el repense à même filⅼe et afrikaans fait qu`une année de plus le sépare d`elle. C'est horrible comme concep𝚝 et pourtan𝚝 tellement vrai y si ncère. C'et vraiment troublant. Et encore même même el scène d'avant est très drôle et là, un petit moment de douceur avant du repartir sur le train effréné ! Et il y a ces fesses… Et le plus beau c'st qu'à la fin Vimala Pontius a un petit air d`Anna Karina ! Film fout, étonnant, percutant, drôle, baeu, triste ! C'est foutrement cool !",1,"[0.0004930670256726444, 0.999506950378418]","[0.5024917125701904, 0.49750828742980957]",success,1538,0.7207207207207207
sentiment,distilcamembert,allocine,textattack,textbugger,allocine,7,"Terrible histoire que ces êtres sans amour, ces êtres lisses et frustres qui passent à côté de leur vie. Quelle leçon Monsieur Brizé! Vous avez tout dit, tout filmé jusqu'au moindre détail. tout est beau et terrifiant jusqu'à la scène finale qui nous liquéfie, un Vincent Lindon regardant la vie fixement sans oser la toucher ni la prendre dans ses bras, une Hélène Vincent qui attend, qui attend... Mon Dieu Monsieur Brizé, continuez....","Horrible histoire que ces êtres sans amour, ces êtres lisses et frustres qui passent à côté de leur vie. Quoi leçоn Monsieur Brizé! Vous avez tout dit, tout filmé jusqu'au moindre détail. tout est beau et terrifіant jusqu'à la scène finale qui nous liquéfie, un Vincent Lindon regardant la vie fixement sans oser la toucher ni la prendre dans ses bras, une Hélène Vincent qui attend, qui attend... Mon Dieu Monsieur Brizé, continuez....",1,"[0.0014063301496207714, 0.9985936284065247]","[0.9052296876907349, 0.09477033466100693]",success,122,0.0547945205479452
sentiment,distilcamembert,allocine,textattack,textbugger,allocine,8,"Un très joli film, qui ressemble à un téléfilm mais qui a le mérite d'être émouvant et proche de ses personnages. Magimel est vraiment très bon et l'histoire est touchante","Un peu joⅼi filｍ, qui ressemble à un téléfilm mais qui a ev mérite dêtre émouvant et proche de ses personnages. Magimel est très très bon et l'histoire est touchante",1,"[0.0022956894244998693, 0.9977043271064758]","[0.44793981313705444, 0.5520602464675903]",failed,77,0.2
sentiment,distilcamembert,allocine,textattack,textbugger,allocine,9,"Mais comment certaines personnes ont pus lui mettre 5/5 et donc dire indirectement que c'est un chef-d'œuvre ??? Et comment a-t-il fait pour sortir au cinéma et non en DTV ??? C'est pas un film que l'on regarde dans une salle obscur ça, pour moi ça ressemble plus à un téléfilm que l'on visionne un dimanche pluvieux pour que les enfants arrête de nous casser les pieds ! Et puis, le scénario avec le chien que devient le meilleur ami du gosse, c'est du vu et revu (un cliché) ! L'acteur principal est quant à lui aussi agaçant que son personnage ! Les suites ont l'air aussi mauvaises que Buddy Star des Paniers étant donné que l'histoire est quasiment la même (pour moi ça c'est pas des suites, c'est plutôt une succession de petits reboots inutiles). Reste regardable pour les moins de 10 ans (et encore, même moi à 6 ans, je n'aurais pas aimé).","Mais comment certaines personnes ont pus l ui mеttre 5/5 et donc dire indirectement que c'est un chef-d'œuvre ??? Et comment a -t-il fait pour sortir au cinéma et non en DTV ??? C'est pas un films que l'on regarde dans une salle obscur ça, pour moi ça ressemble plus à un téléfilm que l'on visionne un dimanche pluvieux pour que les enfants arrête de nous casser les pieds ! Et pis, le scénario avec le chien aussi devient le meilleur ami du gose, c'est to vu et revu (un cliché) ! L'acteur principal est quant à lui aussi ɑgaçant que son personnage ! Trp suites have l'air aussi mauѵaises q ue Buddy Star of Paniers étant donné jose l'histoire est quasiment la même (pur moi ça c'est pas des suites, c'est рlutôt une legacy de petits reboots inutiles). Reste regardable poսr les moinѕ de 10 sln (et encore, même moi à 6 a ns, je n'aurais pas aimé).",0,"[0.9997686743736267, 0.0002313780423719436]","[0.4422735571861267, 0.5577264428138733]",success,471,0.9536423841059604
sentiment,distilcamembert,allocine,textattack,textbugger,allocine,10,"LE film de mon enfance , il a un peu vieilli maintenant , mais l'ours reste toujours impressionnant, il est bien réel contrairement au film 'the Revenant"" . Ce n'est surement pas un chef-d'œuvre mais je le trouve bien réalise , captivant , beaux et accompagné d'une superbe musique. Le gros points noir c'est la facilité qu'ils ont a créer des peaux , des pièges , et rester longtemps sans manger....mais on oublie assez vite ces erreurs grâce a un casting sympathique et aux décors naturels. Un vieux film mais qui reste toujours un bon film.","LAI film de mon enfance , il a un peu vieilli maintenant , mais l'ours reste toujours impressionnant, il est bien réel contrairement au film 'the Revenant"" . Ce n'est surement pas un chef-d'œuvrе só je le trouve bien réalise , captivant , beaux et accompagné d'une superbe musique. Le gros points noir c'est la facilité qu'ils ont a créer des peaux , des pièges , et rester longtemps sans manger....mais on oublie assez vite ces еrreurs grâce a un casting sympathique et aux décors naturels. Un vieux films mais qui reste jamais un bon flm.",1,"[0.000899123027920723, 0.999100923538208]","[0.5098976492881775, 0.4901023209095001]",success,167,0.0777777777777777
