scenario,target_model,target_model_train_dataset,attack_toolchain,attack_name,target_dataset,test_index,original_text,perturbed_text,ground_truth,original_output,perturbed_output,status,num_queries,frac_words_changed
sentiment,distilcamembert,allocine,textattack,textfooler,allocine,0,"Magnifique épopée, une belle histoire, touchante avec des acteurs qui interprètent très bien leur rôles (Mel Gibson, Heath Ledger, Jason Isaacs...), le genre de film qui se savoure en famille! :)","Resplendent épopée, une gentil histoire, touchante z pour acteurs qui interprètent peu ouais reste rôles (Demille Harrison, Heath Literature, Kevin Reeves...), lai genre de footage même ai savoure from famille! :)",1,"[0.00047096062917262316, 0.9995290040969849]","[0.25874316692352295, 0.741256833076477]",failed,361,0.5666666666666667
sentiment,distilcamembert,allocine,textattack,textfooler,allocine,1,"Je n'ai pas aimé mais pourtant je lui mets 2 étoiles car l'expérience est louable. Rien de conventionnel ici. Une visite E.T. mais jonchée d'idées /- originales. Le soucis, tout ceci avait-il vraiment sa place dans un film de S.F. tirant sur l'horreur ? Voici un film qui, à l'inverse de tant d'autres qui y ont droit, mériterait peut-être un remake.","Ar n'ai pas aimé mais pourtant je lui mets 2 étoiles car l'expérience est louable. Rien de conventionnel ici. Une visite E.T. mais jonchée d'idées /- originales. Le soucis, tout ceci avait-il vraiment sa place dans un film de S.F. tirant sur l'horreur ? Voici un film qui, à l'inverse de tant d'autres qui y ont droit, mériterait peut-être un remake.",0,"[0.6205608248710632, 0.3794391453266144]","[0.10041531920433044, 0.8995846509933472]",success,63,0.0163934426229508
sentiment,distilcamembert,allocine,textattack,textfooler,allocine,2,Un dessin animé qui brille par sa féerie et ses chansons.,Un dessin animé même brille fer sg féerie ja ses chansons.,1,"[0.006190015003085136, 0.9938099980354309]","[0.6417938470840454, 0.358206182718277]",success,34,0.3636363636363636
sentiment,distilcamembert,allocine,textattack,textfooler,allocine,3,"Si c'est là le renouveau du cinéma français, c'est tout de même foutrement chiant. Si l'objet est très stylisé et la tension palpable, le film paraît plutôt creux.","Whether c'est trop lai renouveau des cinéma francaise, c'est celle de celle foutrement chiant. Whether l'objet est putain stylisé et la tension palpable, le cinemas paraît plutôt creux.",0,"[0.999725878238678, 0.00027412595227360725]","[0.21219073235988617, 0.7878092527389526]",success,342,0.3571428571428571
sentiment,distilcamembert,allocine,textattack,textfooler,allocine,4,"Et pourtant on s’en Doutait !Second volet très mauvais, sans fraîcheur et particulièrement lourdingue. Quel dommage.","Et pourtant on s’de Doutait !Minute volet peut mauvais, sans fraîcheur et particulièrement lourdingue. Donc dommage.",0,"[0.9996825456619263, 0.00031743431463837624]","[0.9901864528656006, 0.009813588112592697]",failed,110,0.2352941176470588
sentiment,distilcamembert,allocine,textattack,textfooler,allocine,5,"Vous reprendrez bien un peu d'été ? Ce film je le voyais comme un mélange de Rohmer et de Rozier, un film de vacances, j'adore ça, un truc beau et pur qui dit des choses sur la vie, l'amour, les filles, les vacances. Un film qui se regarde en sirotant une boisson fraîche en écoutant les grillons ! Sauf qu'en fait non ! On a un film foutraque au possible qui reprend les codes justement de Rohmer voir Godard, enfin la Nouvelle Vague en général dans sa première partie (jusqu'à même finir sur une partie qui ressemblerait à du Kusturica), mais en beaucoup plus léger et décalé. Le film n'en a rien à foutre de rien, il ose tout, n'a peur de rien et ça c'est bon. C'est sans doute le film le plus drôle de 2013, mais tout simplement l'un des meilleurs tout court. Le film qui nous sort des dialogues qui pourraient sortir d'un mauvais Godard (oxymore) sur un ton what the fuckesque… raconte des anecdotes débiles au souhait face caméra… et pourtant, il y a quelque chose dans ce film survolté. Il y a du beau. Ces scènes dans la neige, c'est tendre, c'est beau, ça tranche avec le reste et ça donne du coeur à l'amourette, ça aide à le faire paraître comme une évidence. Et puis on a cette scène que je trouve sublime qui m'a profondément émue, cette scène où le docteur Placenta devient tout à coup sérieux et parle de cette date où chaque année il repense à cette fille et au fait qu'une année de plus le sépare d'elle. C'est horrible comme concept et pourtant tellement vrai et sincère. C'est vraiment troublant. Et encore une fois la scène d'avant est très drôle et là, un petit moment de douceur avant de repartir sur le train effréné ! Et il y a ces fesses… Et le plus beau c'est qu'à la fin Vimala Pons a un petit air d'Anna Karina ! Film fout, étonnant, percutant, drôle, beau, triste ! C'est foutrement cool !","Vous reprendrez bien un peu d'été ? Ce film je le voyais comme un mélange de Rohmer et de Rozier, un film de vacances, j'adore ça, un truc beau et pur qui dit des choses sur la vie, l'amour, les filles, les vacances. Un film qui se regarde en sirotant une boisson fraîche en écoutant les grillons ! Sauf qu'en fait non ! On a un film foutraque au possible qui reprend les codes justement de Rohmer voir Godard, enfin la Nouvelle Vague en général dans sa première partie (jusqu'à même finir sur une partie qui ressemblerait à du Kusturica), mais en beaucoup plus léger et décalé. De movie n'en a rien à foutre de rien, il ose tout, n'a peur de vraiment et ça c'est okay. C'est sans doute le cinema le plus drôle de 2013, mais tout simplement l'un tak meilleurs tout court. Le film qui nous classification avec dialogues qui pourraient sortir d'un mauvais Godard (oxymore) sur un ton what the fuckesque… raconte des anecdotes débiles au souhait confrontation caméra… et pourtant, el y a quoi options celle cette video survolté. Il y a chez beau. Ces scènes quand la neige, c'est tendre, c'est beau, faut tranche con du vraiment et veut donne chez coeur faut l'amourette, faut aide où du reste paraître quand une évidence. Nor tant on a cette scène que je trouve beautiful qui m'a profondément émue, cette scène alors le docteur Pregnancies devient manque à coup sérieux et parle de cette date où peu année il repense à cette fille et au faites qu'une année de plus le sépare d'elle. C'est horrible vraiment concept et pourtant tellement vrai et sincère. C'est manque troublant. Et encore une fois la scène d'avant est manque drôle et là, un petit moment de douceur avant de repartir sur le train effréné ! Et il y a ones fesses… Et le plus beau c'est qu'à la fin Vimala Pons a un petit air d'Anna Karina ! Film fout, étonnant, percutant, drôle, beau, triste ! C'est foutrement cool !",1,"[0.0004930670256726444, 0.999506950378418]","[0.5640866756439209, 0.4359133243560791]",success,1449,0.1231231231231231
sentiment,distilcamembert,allocine,textattack,textfooler,allocine,7,"Terrible histoire que ces êtres sans amour, ces êtres lisses et frustres qui passent à côté de leur vie. Quelle leçon Monsieur Brizé! Vous avez tout dit, tout filmé jusqu'au moindre détail. tout est beau et terrifiant jusqu'à la scène finale qui nous liquéfie, un Vincent Lindon regardant la vie fixement sans oser la toucher ni la prendre dans ses bras, une Hélène Vincent qui attend, qui attend... Mon Dieu Monsieur Brizé, continuez....","Horrible histoire que ces êtres sans amour, ces êtres lisses et frustres dans passent à côté de leur vie. Quoi leçon Monsieur Brizé! Vous avez trop dit, tout filmé jusqu'au moindre détail. tout est beau et terrifiant jusqu'à la scène finale qui usa liquéfie, un Vincent Lindon regardant la vie fixement sans oser la toucher ni la prendre dans ses bras, une Hélène Vincent qui attend, qui attend... Mon Dieu Monsieur Brizé, continuez....",1,"[0.0014063301496207714, 0.9985936284065247]","[0.5477278232574463, 0.4522721767425537]",success,141,0.0684931506849315
sentiment,distilcamembert,allocine,textattack,textfooler,allocine,8,"Un très joli film, qui ressemble à un téléfilm mais qui a le mérite d'être émouvant et proche de ses personnages. Magimel est vraiment très bon et l'histoire est touchante","Un peu joli film, qui ressemble à un téléfilm mais même a le mérite d'être émouvant et proche de ses personnages. Magimel est très très bon et l'histoire est touchante",1,"[0.0022956894244998693, 0.9977043271064758]","[0.5377196073532104, 0.4622803330421448]",success,145,0.1
sentiment,distilcamembert,allocine,textattack,textfooler,allocine,9,"Mais comment certaines personnes ont pus lui mettre 5/5 et donc dire indirectement que c'est un chef-d'œuvre ??? Et comment a-t-il fait pour sortir au cinéma et non en DTV ??? C'est pas un film que l'on regarde dans une salle obscur ça, pour moi ça ressemble plus à un téléfilm que l'on visionne un dimanche pluvieux pour que les enfants arrête de nous casser les pieds ! Et puis, le scénario avec le chien que devient le meilleur ami du gosse, c'est du vu et revu (un cliché) ! L'acteur principal est quant à lui aussi agaçant que son personnage ! Les suites ont l'air aussi mauvaises que Buddy Star des Paniers étant donné que l'histoire est quasiment la même (pour moi ça c'est pas des suites, c'est plutôt une succession de petits reboots inutiles). Reste regardable pour les moins de 10 ans (et encore, même moi à 6 ans, je n'aurais pas aimé).","Mais comment certaines personnes ont pus lei mettre 5/5 et donc dire indirectement que c'est un chef-d'œuvre ??? Et comment a-t-il fait pour sortir au cinéma et non en DTV ??? C'est pas un film que l'on regarde dans une salle obscur manque, pour moi ça ressemble plus à un téléfilm que l'on visionne un dimanche pluvieux pour que les enfants arrête de nous casser les pieds ! Et puis, le scénario avec le chien que devient le meilleur iam du gosse, c'est le vu et revu (un cliché) ! L'acteur principal est quant à lui estevez agaçant que son personnage ! Les consequence fi l'air francaise mauvaises que Bloke Star des Paniers étant donné que l'histoire est quasiment la même (pour moi ça c'est pas des suites, c'est plutôt une inheritance toward petits reboots inutiles). Peux regardable à les moins de 10 ens (et encore, manque moi à 6 ens, ar n'aurais pas aimé).",0,"[0.9997686743736267, 0.0002313780423719436]","[0.497305303812027, 0.5026947259902954]",success,443,0.1125827814569536
sentiment,distilcamembert,allocine,textattack,textfooler,allocine,10,"LE film de mon enfance , il a un peu vieilli maintenant , mais l'ours reste toujours impressionnant, il est bien réel contrairement au film 'the Revenant"" . Ce n'est surement pas un chef-d'œuvre mais je le trouve bien réalise , captivant , beaux et accompagné d'une superbe musique. Le gros points noir c'est la facilité qu'ils ont a créer des peaux , des pièges , et rester longtemps sans manger....mais on oublie assez vite ces erreurs grâce a un casting sympathique et aux décors naturels. Un vieux film mais qui reste toujours un bon film.","LAI film de mon enfance , il a un peu vieilli maintenant , mais l'ours reste toujours impressionnant, il est bien réel contrairement au film 'the Revenant"" . Ce n'est surement pas un chef-d'œuvre jamais je le trouve bien réalise , captivant , beaux et accompagné d'une superbe musique. Le gros points noir c'est la facilité qu'ils ont a créer des peaux , des pièges , et rester longtemps sans manger....mais on oublie assez vite ces erreurs grâce a un casting sympathique et aux décors naturels. Un vieux movie mais qui reste trop un bon footage.",1,"[0.000899123027920723, 0.999100923538208]","[0.6542717218399048, 0.3457283079624176]",success,229,0.0555555555555555
